videoID,videoLoc,duration,page_dir,caption
1023443014,https://ak.picdn.net/shutterstock/videos/1023443014/preview/stock-footage-disco-light-leaks-disco-ball-light-reflections-shaped-rectangular-and-line-with-motion-blur-effect.mp4,PT00H00M30S,095201_095250,Disco light leaks disco ball light reflections shaped rectangular and line with motion blur effect.
1026421895,https://ak.picdn.net/shutterstock/videos/1026421895/preview/stock-footage-valle-de-la-luna-san-pedro-de-atacama-chile-pull-focus-desert-and-salt.mp4,PT00H00M05S,199401_199450,Valle de la luna / san pedro de atacama / chile - pull focus - desert and salt
4350377,https://ak.picdn.net/shutterstock/videos/4350377/preview/stock-footage-cloudy-moscow-kremlin-time-lapse.mp4,PT00H00M09S,137551_137600,Cloudy moscow kremlin time lapse
1054633538,https://ak.picdn.net/shutterstock/videos/1054633538/preview/stock-footage-sharp-knife-to-cut-delicious-smoked-fish.mp4,PT00H00M19S,083701_083750,Sharp knife to cut delicious smoked fish
15702931,https://ak.picdn.net/shutterstock/videos/15702931/preview/stock-footage-the-girl-received-flowers-as-a-gift-a-gift-for-my-birthday-the-guy-gave-a-girl-flowers.mp4,PT00H00M05S,138451_138500,The girl received flowers as a gift. a gift for my birthday. the guy gave a girl flowers
4393874,https://ak.picdn.net/shutterstock/videos/4393874/preview/stock-footage-a-baker-turns-freshly-baked-loaves-of-sourdough-bread.mp4,PT00H00M05S,094901_094950,A baker turns freshly baked loaves of sourdough bread
1038916979,https://ak.picdn.net/shutterstock/videos/1038916979/preview/stock-footage-transparent-plastic-chairs-for-wedding-guests-it-is-raining-large-drops-are-stained-on-the-chairs.mp4,PT00H00M07S,077251_077300,"Transparent plastic chairs for wedding guests. it is raining, large drops are stained on the chairs, gray weather. view from human height."
1058034760,https://ak.picdn.net/shutterstock/videos/1058034760/preview/stock-footage-preparing-a-caramel-cream-for-cake.mp4,PT00H00M10S,029101_029150,Preparing a caramel cream for cake.
1039460906,https://ak.picdn.net/shutterstock/videos/1039460906/preview/stock-footage-seductive-naked-beautiful-female-touching-face-neck-shoulder-smooth-skin-posing-looking-at-camera.mp4,PT00H00M09S,061901_061950,Seductive naked beautiful female touching face neck shoulder smooth skin posing looking at camera
22794697,https://ak.picdn.net/shutterstock/videos/22794697/preview/stock-footage-toronto-july-toronto-cityscape-with-view-of-cn-tower-tall-modern-buildings-and-gardiner.mp4,PT00H00M24S,129651_129700,"Toronto - july: toronto cityscape with view of cn tower, tall modern buildings and gardiner expressway, july 2016, toronto, canada"
